,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Security Code
777,Veerhealth Care Limited,VEERHEALTH,Veerhealth Care Limited,Active,X ,10,INE882C01035,Pharmaceuticals,Equity,511523
778,Pan India Corporation Ltd,PANINDIAC,Pan India Corporation Ltd.,Active,XT,10,INE376A01032,IT Software Products,Equity,511525
779,Sahara HousingFina Corporation Ltd.,SAHARAHOUS,Sahara Housingfina Corporation Ltd.,Active,X ,10,INE135C01012,Housing Finance ,Equity,511533
780,NDA Securities ltd.,NDASEC,Nda Securities Ltd.,Active,X ,10,INE026C01013,Other Financial Services,Equity,511535
781,Supra Trends Limited,SUPRATRE,Supra Trends Limited,Active,XT,10,INE533B01028,Other Financial Services,Equity,511539
782,GSB Finance Ltd.,GSBFIN,Gsb Finance Ltd.,Active,X ,10,INE777C01011,Finance (including NBFCs),Equity,511543
783,Morarka Finance Ltd.,MORARKFI,Morarka Finance Ltd.,Active,X ,10,INE367A01015,Finance (including NBFCs),Equity,511549
784,Monarch Networth Capital Limited,MONARCH,Monarch Networth Capital Ltd,Active,XT,10,INE903D01011,Other Financial Services,Equity,511551
785,Pro Fin Capital Services Ltd,PROFINC,Pro Fin Capital Services Ltd.,Active,X ,10,INE732K01019,Misc.Commercial Services,Equity,511557
786,Times Guaranty Ltd.,TIMESGTY,Times Guaranty Ltd.,Active,B ,10,INE289C01025,Finance (including NBFCs),Equity,511559
787,Som Datt Finance Corporation Ltd.,SODFC,Som Datt Finance Corporation Ltd.,Active,XT,10,INE754C01010,Finance (including NBFCs),Equity,511571
788,Savani Financials Ltd.,SAVFI,Savani Financials Ltd.,Active,XT,10,INE304E01010,Finance (including NBFCs),Equity,511577
789,Regency Trust Ltd.,REGTRUS,Regency Trust Ltd.,Active,X ,1,INE425F01028,Finance (including NBFCs),Equity,511585
